xa_raw,ya_raw,za_raw,Xnorm,Ynorm,Znorm,Tilt,xm_raw,ym_raw,zm_raw,pitch,roll,MXcomp,MYcomp,Mzcomp,H_vignette,H_pololu
-1712,-14224,9632,-0.1,-0.82,0.56,56.09,24,278,-829,-0.03,0.32,0.05,0.6,-0.8,170,346.82
-2304,10000,13008,-0.14,0.6,0.79,38.27,76,-419,-891,-0.08,-0.44,0.15,-0.76,-0.63,-158.88,201.6
-5664,4080,14512,-0.35,0.25,0.9,25.69,236,-137,-925,-0.25,-0.14,0.47,-0.26,-0.84,-59.38,227.29
-5904,2560,15024,-0.36,0.16,0.92,23.19,201,-73,-931,-0.21,-0.08,0.41,-0.15,-0.9,-39.48,243.91
-6304,1792,15008,-0.38,0.11,0.92,23.59,210,-45,-928,-0.22,-0.05,0.43,-0.09,-0.9,-23.89,250.78
-6160,2064,15056,-0.38,0.13,0.92,23.34,205,-51,-930,-0.22,-0.05,0.42,-0.1,-0.9,-27.62,247.43
-6240,1856,14944,-0.38,0.11,0.92,23.54,211,-42,-927,-0.22,-0.04,0.43,-0.08,-0.9,-22.24,248.22
-6768,3744,14848,-0.4,0.22,0.89,27.52,215,-109,-930,-0.23,-0.11,0.43,-0.21,-0.87,-53.1,241.56
768,12192,6352,0.06,0.89,0.46,62.53,-65,-27,-935,0.07,-0.03,-0.14,-0.06,-0.99,45.06,176.66
2464,-3136,15472,0.15,-0.2,0.97,14.46,-128,124,-878,0.14,0.14,-0.28,0.27,-0.92,-87.74,12.53
2496,-544,15792,0.16,-0.03,0.99,9.19,-170,59,-893,0.19,0.06,-0.37,0.12,-0.92,-37.95,225.44
2304,64,15888,0.14,0,0.99,8.25,-133,40,-907,0.15,0.04,-0.29,0.09,-0.95,-33.3,181.91
2208,512,15888,0.14,0.03,0.99,8.12,-77,21,-923,0.08,0.02,-0.17,0.05,-0.99,-30.46,134.84
1712,912,16096,0.11,0.06,0.99,6.87,-31,8,-929,0.03,0.01,-0.07,0.02,-1,-28.93,131.73
1056,1104,16016,0.07,0.07,1,5.45,24,-20,-941,-0.03,-0.02,0.05,-0.04,-1,-79.6,117.33
1024,1536,16080,0.06,0.09,0.99,6.55,53,-47,-944,-0.06,-0.05,0.11,-0.1,-0.99,-83.07,110.54
1360,1440,16112,0.08,0.09,0.99,7.01,65,-70,-944,-0.07,-0.07,0.14,-0.15,-0.98,-94.14,95.24
1920,576,16192,0.12,0.04,0.99,7.06,66,-76,-944,-0.07,-0.08,0.14,-0.16,-0.98,-97.94,76.28
2592,-128,15664,0.16,-0.01,0.99,9.41,47,-91,-945,-0.05,-0.1,0.1,-0.19,-0.98,-125.29,63.86
3760,-48,15888,0.23,0,0.97,13.32,10,-129,-951,-0.01,-0.13,0.02,-0.27,-0.96,-171.11,60.07
4064,-672,15536,0.25,-0.04,0.97,14.85,-20,-163,-950,0.02,-0.17,-0.04,-0.33,-0.94,165.96,47.65
4240,-816,15472,0.26,-0.05,0.96,15.59,-42,-187,-945,0.04,-0.2,-0.09,-0.38,-0.92,154.55,41.85
4368,-1152,15264,0.27,-0.07,0.96,16.49,-81,-200,-939,0.08,-0.21,-0.17,-0.4,-0.9,135.61,34.11
4480,-1632,15184,0.28,-0.1,0.95,17.43,-113,-204,-934,0.12,-0.21,-0.23,-0.41,-0.88,121.58,27.62
4688,-2048,15392,0.29,-0.13,0.95,18.39,-152,-203,-921,0.16,-0.21,-0.31,-0.4,-0.86,105.67,21.12
4992,-2464,14960,0.31,-0.15,0.94,20.41,-189,-195,-915,0.2,-0.21,-0.38,-0.38,-0.84,90.9,18.19
3856,-2432,15552,0.24,-0.15,0.96,16.34,-210,-188,-907,0.22,-0.2,-0.43,-0.37,-0.83,82.66,2.54
3744,-1840,15552,0.23,-0.11,0.97,15.02,-257,-178,-887,0.28,-0.19,-0.52,-0.34,-0.78,68.12,351.49
4480,-1520,15296,0.28,-0.09,0.96,17.19,-295,-175,-869,0.32,-0.19,-0.59,-0.33,-0.73,59.81,351.54
5440,-1280,14960,0.34,-0.08,0.94,20.49,-341,-164,-840,0.38,-0.18,-0.68,-0.3,-0.67,49.56,351.95
5936,-1072,14896,0.37,-0.07,0.93,22.05,-376,-144,-822,0.42,-0.16,-0.74,-0.26,-0.62,40.07,347.56
6208,-464,14832,0.39,-0.03,0.92,22.77,-390,-133,-806,0.45,-0.15,-0.77,-0.24,-0.59,35.83,342.99
5984,432,15056,0.37,0.03,0.93,21.73,-386,-134,-814,0.44,-0.15,-0.76,-0.24,-0.6,36.49,332.17
6128,1248,14896,0.38,0.08,0.92,22.78,-385,-117,-808,0.44,-0.13,-0.77,-0.21,-0.61,32.2,314.39
6160,64,15376,0.37,0,0.93,21.83,-335,-13,-829,0.38,-0.01,-0.69,-0.02,-0.72,4.28,344.34
3632,48,15728,0.23,0,0.97,13.01,-228,23,-876,0.25,0.03,-0.49,0.05,-0.87,-11.34,224.28
3312,416,16272,0.2,0.03,0.98,11.59,-153,23,-905,0.17,0.03,-0.33,0.05,-0.94,-16.98,146.37
2816,768,15952,0.17,0.05,0.98,10.37,-130,17,-907,0.14,0.02,-0.28,0.04,-0.96,-14.83,153.83
3440,1472,15680,0.21,0.09,0.97,13.42,-121,-4,-918,0.13,0,-0.26,-0.01,-0.97,3.77,135.63
4320,1760,15552,0.27,0.11,0.96,16.7,-96,-43,-928,0.1,-0.05,-0.2,-0.09,-0.97,48.13,110.07
3008,3280,15408,0.19,0.2,0.96,16.11,-25,-109,-941,0.03,-0.12,-0.05,-0.23,-0.97,154.12,118.1
